ID,DistrictsAndNeighbourhoods,Encoding_3,DistanceToPerformingArts_99,Within5Km_100,Within10Km_101,Within20Km_102,DistanceToPopMusicVenue_103,DistanceToCinema_104,Within5Km_105,Within10Km_106,Within20Km_107,DistanceToSauna_108,DistanceToTanningSalon_109,DistanceToAttraction_110,Within10Km_111,Within20Km_112,Within50Km_113,DistanceToFireStation_114
8598,BU03530019,BU03530019,1.6,1.9,2.0,15.0,11.4,11.8,0.0,0.0,10.0,13.9,0.7,1.2,1.0,10.0,56.8,1.1
8599,BU03530020,BU03530020,1.9,1.0,2.0,15.0,12.1,12.5,0.0,0.0,10.0,14.6,1.5,2.0,1.0,8.3,55.0,1.9
8600,BU03530021,BU03530021,1.5,1.0,2.0,15.0,12.3,12.7,0.0,0.0,10.0,14.8,1.4,2.2,1.0,8.0,55.0,2.1
8601,BU03530022,BU03530022,1.3,1.0,2.0,15.0,12.1,12.5,0.0,0.0,10.0,14.6,1.2,2.0,1.0,8.5,55.0,1.9
8602,BU03530023,BU03530023,1.0,2.0,2.0,15.0,11.3,11.7,0.0,0.0,10.0,13.8,0.7,1.2,1.0,10.0,57.6,1.1
8603,BU03530024,BU03530024,1.0,1.3,2.1,15.0,11.7,12.1,0.0,0.0,10.0,14.3,1.6,2.0,1.0,9.8,56.7,1.8
8604,BU03530025,BU03530025,1.5,1.0,2.0,14.6,12.2,12.5,0.0,0.0,10.0,14.7,1.9,2.6,1.0,8.1,55.8,2.4
8605,BU03530026,BU03530026,1.6,1.1,2.7,15.0,11.9,12.0,0.0,0.0,10.0,14.4,2.6,2.7,1.0,9.1,55.4,2.4
8606,BU03530027,BU03530027,1.0,2.0,3.0,15.0,11.4,11.7,0.0,0.0,10.0,13.9,2.2,2.0,1.0,10.0,57.2,1.7
8607,BU03530028,BU03530028,0.9,2.0,2.6,15.2,10.8,11.2,0.0,0.0,10.0,13.3,2.1,1.6,1.0,10.2,59.8,1.4
8608,BU03530029,BU03530029,3.9,0.8,2.9,14.1,12.0,10.8,0.0,0.8,10.0,12.6,4.6,4.8,2.1,8.2,56.5,3.8
8609,BU03530030,BU03530030,3.1,1.4,2.0,14.7,11.8,12.3,0.0,0.0,9.8,14.4,2.2,2.7,1.0,11.6,55.7,2.3
8610,GM1884,GM1884,9.8,0.0,1.0,11.7,12.4,9.8,0.0,0.7,7.2,12.5,8.3,9.2,0.8,12.1,72.1,1.4
8611,WK188400,WK188400,10.8,0.0,0.2,11.2,12.9,10.6,0.0,0.3,7.2,13.2,9.7,10.8,0.0,12.6,72.8,1.1
8612,BU18840000,BU18840000,11.8,0.0,0.0,11.0,12.5,11.5,0.0,0.0,7.5,12.7,10.6,10.4,0.0,11.9,72.2,0.9
8613,BU18840001,BU18840001,9.5,0.0,0.9,11.2,13.7,9.3,0.0,0.9,7.0,14.2,8.3,11.3,0.0,13.9,73.6,1.9
8614,BU18840002,BU18840002,10.7,0.0,0.0,11.4,12.9,10.5,0.0,0.0,7.0,13.1,9.5,10.8,0.0,12.5,73.0,0.6
8615,BU18840003,BU18840003,10.2,0.0,0.2,12.1,13.4,9.9,0.0,0.6,7.0,13.6,9.0,11.2,0.0,13.9,73.0,1.1
8616,BU18840004,BU18840004,11.4,0.0,0.1,11.1,12.6,11.2,0.0,0.1,7.4,12.8,10.4,10.5,0.2,12.1,71.9,1.5
8617,WK188401,WK188401,8.8,0.0,2.6,12.0,9.9,8.7,0.0,2.0,8.0,9.6,8.1,7.3,1.1,12.5,69.7,1.6
8618,BU18840101,BU18840101,10.8,0.0,0.0,12.0,11.7,10.6,0.0,0.1,7.9,11.9,9.7,9.7,0.7,13.8,71.5,3.3
8619,BU18840102,BU18840102,8.8,0.0,3.8,12.0,8.8,8.8,0.0,2.8,8.0,9.0,8.2,6.8,1.0,12.9,70.2,0.8
8620,BU18840104,BU18840104,7.6,0.0,4.0,12.5,7.6,7.6,0.0,3.0,8.6,7.8,7.0,5.5,1.1,11.0,69.0,1.3
8621,BU18840105,BU18840105,6.8,0.0,1.0,11.0,14.6,6.6,0.0,1.0,6.9,11.0,6.8,8.8,1.7,11.1,65.6,0.8
8622,BU18840107,BU18840107,11.0,0.0,0.3,11.9,11.1,11.0,0.0,0.2,8.0,11.3,10.3,9.0,1.0,13.0,71.4,2.0
8623,BU18840109,BU18840109,6.9,0.3,3.2,12.9,7.3,6.9,0.2,2.7,8.3,7.5,6.2,5.2,1.4,11.3,68.3,4.0
8624,WK188402,WK188402,7.0,0.0,2.6,11.0,11.5,7.3,0.0,1.6,7.8,12.2,5.9,6.0,2.7,9.7,70.7,1.9
8625,BU18840200,BU18840200,6.1,0.0,2.0,10.0,13.0,6.6,0.0,1.0,7.1,13.7,5.0,5.6,3.6,9.3,71.6,0.7
8626,BU18840201,BU18840201,8.3,0.0,2.9,11.2,10.3,8.7,0.0,1.9,8.4,11.0,7.2,7.6,3.3,8.0,70.0,2.6
8627,BU18840202,BU18840202,8.0,0.0,4.0,13.8,8.3,8.0,0.0,3.0,9.5,9.0,7.0,6.0,1.5,11.4,70.4,4.1
8628,BU18840203,BU18840203,6.5,0.0,2.0,9.7,12.9,6.9,0.0,1.0,7.0,13.6,5.4,5.9,3.1,8.9,70.4,0.8
8629,BU18840207,BU18840207,7.3,0.0,2.0,12.0,16.0,7.7,0.0,1.0,7.3,15.0,6.2,6.7,3.0,10.8,73.7,3.7
8630,BU18840208,BU18840208,6.8,0.0,2.0,9.3,13.2,7.3,0.0,1.0,7.0,13.9,5.7,6.3,3.1,8.6,70.2,1.1
8631,BU18840209,BU18840209,8.4,0.0,3.4,12.8,8.6,8.4,0.0,2.5,8.9,9.2,7.5,6.4,1.2,10.8,70.1,4.2
8632,WK188403,WK188403,8.2,0.0,1.9,12.1,15.6,8.6,0.0,1.0,7.0,15.1,7.1,7.6,2.5,12.0,73.3,3.7
8633,BU18840300,BU18840300,8.1,0.0,1.9,12.1,15.6,8.6,0.0,1.0,7.0,15.0,7.0,7.6,2.5,12.1,73.4,3.6
8634,BU18840309,BU18840309,10.3,0.0,0.3,12.2,16.7,10.7,0.0,0.0,7.0,16.5,9.1,9.7,1.1,10.5,71.1,4.8
8635,WK188404,WK188404,11.6,0.0,0.0,13.4,12.9,11.6,0.0,0.0,6.0,12.4,7.6,10.6,0.2,13.0,73.7,1.0
