ID,DistrictsAndNeighbourhoods,Encoding_3,DistanceToLargeSupermarket_24,Within1Km_25,Within3Km_26,Within5Km_27,DistanceToShopForOtherDailyFood_28,DistanceToDepartmentStore_32,Within5Km_33,Within10Km_34,Within20Km_35,DistanceToCafeEtc_36,Within1Km_37,Within3Km_38,Within5Km_39,DistanceToCafeteriaEtc_40,Within1Km_41,Within3Km_42,Within5Km_43
113,BU01970304,BU01970304,0.8,1.0,3.1,4.0,0.5,0.6,2.0,3.9,8.9,0.8,0.7,1.9,3.0,       .,       .,       .,       .
114,BU01970305,BU01970305,1.4,0.1,3.0,3.0,1.7,1.9,2.0,4.0,9.0,1.9,0.0,1.0,1.9,       .,       .,       .,       .
115,BU01970306,BU01970306,1.3,0.1,3.0,4.0,0.9,1.0,2.0,3.3,8.2,1.1,0.3,1.0,3.0,       .,       .,       .,       .
116,BU01970307,BU01970307,0.5,2.8,3.0,4.0,0.3,0.5,2.0,4.0,8.8,0.6,1.0,1.0,3.0,       .,       .,       .,       .
117,WK019704,WK019704,1.2,1.0,1.8,1.9,0.8,1.2,1.0,2.5,8.1,1.0,1.1,1.8,2.0,       .,       .,       .,       .
118,BU01970400,BU01970400,0.4,1.9,2.0,2.0,0.5,0.6,1.0,2.1,8.0,0.4,1.5,2.0,2.0,       .,       .,       .,       .
119,BU01970401,BU01970401,1.0,0.8,2.0,2.0,0.8,0.8,1.0,2.2,8.0,0.7,1.2,2.0,2.0,       .,       .,       .,       .
120,BU01970402,BU01970402,1.0,0.5,2.0,2.0,0.8,0.9,1.0,2.0,8.0,0.6,1.0,2.0,2.0,       .,       .,       .,       .
121,BU01970403,BU01970403,3.7,0.0,0.0,2.0,0.7,3.5,1.0,5.0,9.7,3.4,0.0,0.0,2.0,       .,       .,       .,       .
122,BU01970408,BU01970408,1.7,0.0,2.0,2.0,1.5,1.6,1.0,2.9,7.5,1.4,0.1,2.0,2.0,       .,       .,       .,       .
123,BU01970409,BU01970409,4.1,0.0,0.4,1.4,1.9,4.1,0.7,4.7,8.7,3.8,0.0,0.4,1.5,       .,       .,       .,       .
124,GM0059,GM0059,1.7,0.9,2.5,4.0,1.3,4.8,0.5,1.4,5.8,2.0,0.7,1.5,3.8,       .,       .,       .,       .
125,WK005900,WK005900,1.7,0.9,2.0,3.0,1.3,7.1,0.1,1.4,5.6,3.3,0.1,0.4,1.3,       .,       .,       .,       .
