ID,DistrictsAndNeighbourhoods,Encoding_3,DistanceToSchool_64,Within3Km_65,Within5Km_66,Within10Km_67,DistanceToSchool_68,Within3Km_69,Within5Km_70,Within10Km_71,DistanceToSchool_72,Within3Km_73,Within5Km_74,Within10Km_75,DistanceToPublicGreenTotal_76,DistanceToParkOrPublicGarden_77,DistanceToRecreationalTerrain_78,DistanceToForest_79,DistanceToOpenNatTerrainTotal_80,DistanceToOpenDryNaturalTerrain_81,DistanceToOpenWetNaturalTerrain_82
17401,BU16900600,BU16900600,12.1,0.0,0.0,0.0,12.1,0.0,0.0,0.0,12.3,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
17402,BU16900609,BU16900609,11.0,0.0,0.0,0.3,11.0,0.0,0.0,0.3,11.3,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
17403,WK169007,WK169007,7.7,0.0,0.0,6.7,7.7,0.0,0.0,5.8,8.3,0.0,0.0,1.9,       .,       .,       .,       .,       .,       .,       .
17404,BU16900700,BU16900700,7.0,0.0,0.0,7.0,7.0,0.0,0.0,6.0,7.6,0.0,0.0,2.0,       .,       .,       .,       .,       .,       .,       .
17405,BU16900709,BU16900709,8.3,0.0,0.0,6.4,8.3,0.0,0.0,5.6,8.9,0.0,0.0,1.7,       .,       .,       .,       .,       .,       .,       .
17406,WK169008,WK169008,11.1,0.0,0.0,0.1,11.1,0.0,0.0,0.1,13.0,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
17407,BU16900800,BU16900800,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,13.1,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
17408,BU16900801,BU16900801,12.2,0.0,0.0,0.0,12.2,0.0,0.0,0.0,13.9,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
17409,BU16900802,BU16900802,11.3,0.0,0.0,0.0,11.3,0.0,0.0,0.0,11.3,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
17410,BU16900803,BU16900803,9.5,0.0,0.0,0.9,9.5,0.0,0.0,0.9,11.7,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
17411,BU16900804,BU16900804,10.5,0.0,0.0,0.0,10.5,0.0,0.0,0.0,12.7,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
17412,BU16900809,BU16900809,11.2,0.0,0.0,0.6,11.2,0.0,0.0,0.6,12.4,0.0,0.0,0.1,       .,       .,       .,       .,       .,       .,       .
17413,WK169009,WK169009,7.3,0.0,0.0,5.4,7.3,0.0,0.0,4.7,9.5,0.0,0.0,1.5,       .,       .,       .,       .,       .,       .,       .
17414,BU16900900,BU16900900,6.5,0.0,0.0,7.0,6.5,0.0,0.0,6.0,8.7,0.0,0.0,2.0,       .,       .,       .,       .,       .,       .,       .
17415,BU16900909,BU16900909,8.2,0.0,0.0,3.4,8.2,0.0,0.0,3.0,10.5,0.0,0.0,0.8,       .,       .,       .,       .,       .,       .,       .
17416,WK169010,WK169010,10.5,0.0,0.0,0.2,10.5,0.0,0.0,0.2,10.5,0.0,0.0,0.2,       .,       .,       .,       .,       .,       .,       .
17417,BU16901000,BU16901000,10.8,0.0,0.0,0.0,10.8,0.0,0.0,0.0,10.8,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
17418,BU16901009,BU16901009,9.8,0.0,0.0,0.8,9.8,0.0,0.0,0.8,9.8,0.0,0.0,0.8,       .,       .,       .,       .,       .,       .,       .
17419,WK169011,WK169011,7.0,0.0,0.1,6.9,7.0,0.0,0.1,6.9,7.0,0.0,0.0,2.6,       .,       .,       .,       .,       .,       .,       .
17420,BU16901100,BU16901100,6.3,0.0,0.0,8.0,6.3,0.0,0.0,8.0,6.3,0.0,0.0,3.0,       .,       .,       .,       .,       .,       .,       .
17421,BU16901101,BU16901101,4.8,0.0,1.2,8.0,4.8,0.0,1.2,8.0,4.8,0.0,0.8,3.0,       .,       .,       .,       .,       .,       .,       .
17422,BU16901102,BU16901102,9.1,0.0,0.0,2.7,9.1,0.0,0.0,2.7,9.1,0.0,0.0,1.6,       .,       .,       .,       .,       .,       .,       .
17423,BU16901103,BU16901103,7.7,0.0,0.0,8.0,7.7,0.0,0.0,8.0,7.7,0.0,0.0,3.0,       .,       .,       .,       .,       .,       .,       .
17424,BU16901104,BU16901104,8.8,0.0,0.0,5.1,8.8,0.0,0.0,5.1,8.8,0.0,0.0,2.0,       .,       .,       .,       .,       .,       .,       .
17425,BU16901105,BU16901105,9.2,0.0,0.0,4.1,9.2,0.0,0.0,4.1,9.2,0.0,0.0,1.7,       .,       .,       .,       .,       .,       .,       .
17426,BU16901109,BU16901109,7.5,0.0,0.3,6.2,7.5,0.0,0.3,6.2,7.5,0.0,0.1,2.4,       .,       .,       .,       .,       .,       .,       .
17427,WK169012,WK169012,10.3,0.0,0.0,2.0,10.3,0.0,0.0,2.0,10.3,0.0,0.0,0.6,       .,       .,       .,       .,       .,       .,       .
17428,BU16901200,BU16901200,10.1,0.0,0.0,1.4,10.1,0.0,0.0,1.4,10.1,0.0,0.0,0.4,       .,       .,       .,       .,       .,       .,       .
17429,BU16901201,BU16901201,9.6,0.0,0.0,4.0,9.6,0.0,0.0,4.0,9.6,0.0,0.0,1.0,       .,       .,       .,       .,       .,       .,       .
17430,BU16901202,BU16901202,11.1,0.0,0.0,0.0,11.1,0.0,0.0,0.0,11.2,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
17431,BU16901203,BU16901203,11.3,0.0,0.0,0.0,11.3,0.0,0.0,0.0,11.3,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
17432,BU16901209,BU16901209,10.5,0.0,0.0,2.8,10.5,0.0,0.0,2.8,10.5,0.0,0.0,1.0,       .,       .,       .,       .,       .,       .,       .
17433,WK169013,WK169013,8.3,0.0,0.0,8.3,8.3,0.0,0.0,8.3,8.3,0.0,0.0,2.7,       .,       .,       .,       .,       .,       .,       .
17434,BU16901300,BU16901300,8.1,0.0,0.0,8.9,8.1,0.0,0.0,8.9,8.1,0.0,0.0,2.9,       .,       .,       .,       .,       .,       .,       .
17435,BU16901309,BU16901309,10.0,0.0,0.0,3.5,10.0,0.0,0.0,3.5,10.0,0.0,0.0,1.1,       .,       .,       .,       .,       .,       .,       .
17436,GM0880,GM0880,4.7,0.0,3.4,12.2,4.8,0.0,1.9,8.1,4.7,0.0,2.0,5.8,       .,       .,       .,       .,       .,       .,       .
17437,WK088000,WK088000,4.6,0.0,3.8,12.6,4.7,0.0,2.1,8.5,4.6,0.0,2.1,6.1,       .,       .,       .,       .,       .,       .,       .
17438,BU08800000,BU08800000,5.9,0.0,0.1,12.3,5.9,0.0,0.0,7.3,5.9,0.0,0.1,6.9,       .,       .,       .,       .,       .,       .,       .
17439,BU08800001,BU08800001,4.1,0.0,5.9,13.0,4.1,0.0,3.4,9.0,4.1,0.0,3.3,6.0,       .,       .,       .,       .,       .,       .,       .
17440,BU08800002,BU08800002,5.6,0.0,0.5,10.7,5.8,0.0,0.2,6.7,5.6,0.0,0.3,5.8,       .,       .,       .,       .,       .,       .,       .
17441,BU08800003,BU08800003,4.7,0.0,3.2,12.6,4.7,0.0,1.7,8.6,4.7,0.0,1.8,6.0,       .,       .,       .,       .,       .,       .,       .
17442,BU08800004,BU08800004,4.5,0.0,4.5,12.9,4.5,0.0,2.6,8.9,4.5,0.0,2.5,6.0,       .,       .,       .,       .,       .,       .,       .
17443,BU08800005,BU08800005,5.3,0.0,0.0,11.0,5.3,0.0,0.0,7.0,5.3,0.0,0.0,6.0,       .,       .,       .,       .,       .,       .,       .
17444,BU08800009,BU08800009,3.8,0.2,2.3,13.3,5.3,0.0,0.8,9.1,3.8,0.2,1.8,6.1,       .,       .,       .,       .,       .,       .,       .
17445,WK088001,WK088001,3.9,0.0,2.4,9.8,4.3,0.0,0.8,6.3,3.9,0.0,1.6,4.1,       .,       .,       .,       .,       .,       .,       .
17446,BU08800100,BU08800100,3.6,0.0,3.0,8.0,3.6,0.0,1.0,5.0,3.7,0.0,2.0,3.0,       .,       .,       .,       .,       .,       .,       .
17447,BU08800108,BU08800108,4.4,0.2,1.2,12.9,5.4,0.0,0.4,8.6,4.4,0.2,1.0,6.1,       .,       .,       .,       .,       .,       .,       .
17448,BU08800109,BU08800109,4.6,0.1,1.2,14.1,5.7,0.0,0.3,9.3,4.6,0.1,0.9,6.5,       .,       .,       .,       .,       .,       .,       .
17449,WK088002,WK088002,6.9,0.0,0.7,10.3,6.9,0.0,0.3,6.0,6.9,0.0,0.4,4.9,       .,       .,       .,       .,       .,       .,       .
17450,BU08800200,BU08800200,7.5,0.0,0.0,12.9,7.5,0.0,0.0,7.6,7.5,0.0,0.0,6.3,       .,       .,       .,       .,       .,       .,       .
17451,BU08800201,BU08800201,8.0,0.0,0.0,10.4,8.0,0.0,0.0,5.4,8.0,0.0,0.0,6.0,       .,       .,       .,       .,       .,       .,       .
17452,BU08800208,BU08800208,8.7,0.0,0.0,5.0,8.8,0.0,0.0,3.0,8.7,0.0,0.0,2.0,       .,       .,       .,       .,       .,       .,       .
