ID,DistrictsAndNeighbourhoods,Encoding_3,Within1Km_45,Within3Km_46,Within5Km_47,DistanceToHotelEtc_48,Within5Km_49,Within105km_50,Within20Km_51,DistanceToDaycareCentres_52,Within1Km_53,Within3Km_54,Within5Km_55,DistanceToOutOfSchoolCare_56,Within1Km_57,Within3Km_58,Within5Km_59,DistanceToSchool_60,Within1Km_61,Within3Km_62,Within5Km_63
10973,WK035604,WK035604,2.7,25.7,50.7,       .,       .,       .,       .,0.4,2.5,14.8,27.2,0.4,3.2,12.3,18.7,0.7,1.8,10.5,17.1
10974,BU03560401,BU03560401,3.8,29.0,57.4,       .,       .,       .,       .,0.4,2.7,15.4,29.8,0.4,3.1,12.6,20.9,0.6,2.3,10.8,19.0
10975,BU03560402,BU03560402,3.0,28.1,53.9,       .,       .,       .,       .,0.3,2.7,15.0,27.3,0.3,3.4,12.4,19.1,0.5,2.1,10.6,16.9
10976,BU03560403,BU03560403,1.4,20.4,41.2,       .,       .,       .,       .,0.4,2.3,14.2,24.2,0.3,3.3,12.0,15.9,0.9,1.2,10.1,15.2
10977,WK035605,WK035605,2.7,41.2,78.2,       .,       .,       .,       .,0.5,1.4,16.6,38.4,0.9,0.6,11.5,35.4,0.5,1.4,11.7,26.5
10978,BU03560501,BU03560501,4.8,36.5,78.6,       .,       .,       .,       .,0.5,1.5,17.0,37.9,0.5,1.0,11.5,34.9,0.5,1.5,10.6,26.2
10979,BU03560502,BU03560502,2.5,40.1,78.6,       .,       .,       .,       .,0.3,1.4,17.3,37.5,1.0,0.4,11.2,35.4,0.3,1.4,12.4,26.5
10980,BU03560503,BU03560503,0.8,46.4,77.7,       .,       .,       .,       .,0.6,1.3,16.0,39.4,1.1,0.3,11.6,35.9,0.6,1.3,12.2,26.9
10981,WK035606,WK035606,0.1,20.1,65.8,       .,       .,       .,       .,1.2,0.4,13.1,43.3,1.2,0.3,9.2,34.7,1.3,0.2,9.1,29.8
10982,BU03560600,BU03560600,0.1,20.1,65.8,       .,       .,       .,       .,1.2,0.4,13.1,43.3,1.2,0.3,9.2,34.7,1.3,0.2,9.1,29.8
